,co_volume,cv_volume,sentiment,sentiment_ste
2018-01-17,2110,0,-20.622566681603978,0.9890314425391267
2018-01-18,2058,0,-14.835410626148263,0.9874547458525219
2018-01-19,2030,0,-15.842799893263566,0.950772068730703
2018-01-20,1735,0,-18.252344649016855,1.0028661420833658
2018-01-21,1570,0,-17.160720385505392,1.1006457717193212
2018-01-22,1769,0,-14.933498857497984,0.9885022803186323
2018-01-23,1876,0,-16.0364473503323,0.9894670981823817
2018-01-24,1668,0,-17.0485296567004,1.1264217338876499
2018-01-25,1547,0,-12.930196199104701,1.1147292727341997
2018-01-26,1506,0,-9.469945724009639,1.1084369356862724
2018-01-27,1235,0,-10.120739781879365,1.2438925448436369
2018-01-28,1344,0,-11.54427254011391,1.1652122123616588
2018-01-29,1384,0,-13.482589550527639,1.1811535062227045
2018-01-30,1411,0,-11.142071896351764,1.1572881144352325
2018-01-31,1184,0,-8.841179432003441,1.2491154183161646
2018-02-01,1343,0,-7.0219744521928975,1.0825402805400932
2018-02-02,1171,0,-12.28245235716922,1.3338203543247122
2018-02-03,974,0,-13.58237710110361,1.4444157443506698
2018-02-04,992,0,-12.16609258018533,1.4070038649329284
2018-02-05,1098,0,-10.717936119783351,1.296233476594731
2018-02-06,514,0,-12.392455685257243,1.9069475404568974
2018-02-07,884,0,-8.595548127861056,1.4110432391319065
2018-02-08,1001,0,-5.5613383838383825,1.2891853130966615
2018-02-09,1042,0,-8.652626855700726,1.2716066896178388
2018-02-10,929,0,-11.882795574875313,1.4501678199011048
2018-02-11,861,0,-7.092334616368564,1.5646720183491079
2018-02-12,441,0,-7.685455134434727,2.1172130290901383
2018-02-13,874,0,-11.604983481865332,1.5227930782472314
2018-02-14,627,0,-7.1431107054110266,1.795411421845406
2018-02-15,401,0,0.6172619047619048,2.1752936391946385
2018-02-16,608,0,-6.080515676891293,1.9218244762133903
2018-02-17,612,0,-10.224746291959406,1.9563979866074783
2018-02-18,807,0,-16.832579853025948,1.4931324316812244
2018-02-19,736,0,-13.155553076550616,1.606978075963057
2018-02-20,634,0,-9.586260371656548,1.7566855519171511
2018-02-21,520,0,-10.483211637710255,1.898712101389535
2018-02-22,644,0,-20.242302986868204,1.852687460117986
2018-02-23,614,0,-18.197137007897595,1.9139212590736638
2018-02-24,569,0,-14.505575117370896,1.8548716055504393
2018-02-25,556,0,-12.789397976672342,1.8186286234951745
2018-02-26,536,0,-14.934653612223705,1.8812561706757391
2018-02-27,529,0,-16.519824470192116,1.8054507053097584
2018-02-28,504,0,-16.617290434692396,1.95625720271691
2018-03-01,468,0,-21.533246845746845,1.9260201849471419
2018-03-02,502,0,-20.84996673320027,1.96697605204234
2018-03-03,512,0,-26.975083978904056,1.7257037290319293
2018-03-04,365,0,-6.729125575279421,2.180961532705343
2018-03-05,340,0,-9.227415966386555,2.2244588570021975
2018-03-06,180,0,-12.912037037037038,2.966258347300365
2018-03-07,767,0,-20.583600260077937,1.5362059827341266
2018-03-08,900,0,-15.939666352166354,1.2824158295420047
2018-03-09,779,0,-16.361780326130848,1.432593495596431
2018-03-10,755,0,-17.28798131188569,1.5433298576368508
2018-03-11,2647,0,-20.96497470410209,0.7649110034049321
2018-03-12,725,0,-16.080726224589515,1.4985039111012992
2018-03-13,755,0,-12.9490272420736,1.4902855956373442
2018-03-14,617,0,-9.965611104184848,1.7551159948414294
2018-03-15,783,0,-14.530404204692632,1.4180810265508212
2018-03-16,711,0,-16.030645007438256,1.54137736031798
2018-03-17,602,0,-9.513548724634326,1.6579449130724166
2018-03-18,635,0,-12.208296078374818,1.670591353960502
2018-03-19,730,0,-12.073958885242234,1.5412591782623029
2018-03-20,2813,0,-15.888186498159993,0.7945925744501415
2018-03-21,899,0,-21.343959618431253,1.3338450768954702
2018-03-22,1123,0,-20.584569778692664,0.9994422146625758
2018-03-23,914,0,-20.32989861938745,1.2853315117141972
2018-03-24,717,0,-15.980029741315802,1.6161122315224443
2018-03-25,783,0,-7.597809391851816,1.4427539596377712
2018-03-26,828,0,-8.727039788103873,1.3398055038056664
2018-03-27,1062,0,-9.966203994710966,1.195160672510266
2018-03-28,847,0,-14.179104334759431,1.3921539921048307
2018-03-29,3066,0,-12.523328787237483,0.7028634117981752
2018-03-30,749,0,-14.628737341352508,1.5247254083553388
2018-03-31,713,0,-12.179308730851508,1.5681050753744434
2018-04-01,210,0,-14.030612244897961,2.2709550744231106
2018-04-02,905,0,-15.897305613066482,1.2499585823189763
2018-04-03,1016,0,-12.2142270701384,1.1490767072935604
2018-04-04,1044,0,-21.10461795082717,1.181784165928549
2018-04-05,5109,0,-20.197386713350927,0.5006726504314395
2018-04-06,1058,0,-21.2230374712619,1.2384334552464944
2018-04-07,864,0,-21.08393076031973,1.376060024845754
2018-04-08,874,0,-12.71805523095661,1.4211974382038453
2018-04-09,973,0,-10.178033454497996,1.3159739300562387
2018-04-10,825,0,-9.413708513708515,1.3972403434329415
2018-04-11,3095,0,-13.774783311658927,0.7201796814628421
2018-04-12,701,0,-12.808801020408161,1.5955307014560827
2018-04-13,657,0,-15.537671655774629,1.616579607476298
2018-04-14,1919,0,-12.427670302914592,0.958047217511727
2018-04-15,619,0,-5.027490306271872,1.656614080208213
2018-04-16,726,0,-9.806063300329923,1.5617681321876427
2018-04-17,745,0,-7.143453302849279,1.4532526746783747
2018-04-18,725,0,-11.300534946943785,1.50814398810888
2018-04-19,667,0,-11.776389484722818,1.5250451729778993
2018-04-20,763,0,-16.57999376373806,1.525238646112781
2018-04-21,583,0,-6.82365216201423,1.6961518140452965
2018-04-22,2014,0,-10.51354325653861,0.9089722603815104
2018-04-23,730,0,-10.191524200296127,1.5069697183161614
2018-04-24,744,0,-5.100034181460829,1.5471134276707754
2018-04-25,726,0,-11.588335906517724,1.5701665278631003
2018-04-26,2731,0,-8.11104693982941,0.7633856235850632
2018-04-27,655,0,-15.84944036832436,1.6373618013138556
2018-04-28,611,0,-10.784422785507648,1.746522351580713
2018-04-29,704,0,-9.004316445452176,1.598116350348591
2018-04-30,792,0,-16.459276359466475,1.4284822433034128
2018-05-01,813,0,-11.17863088804048,1.4556733576169627
2018-05-02,935,0,-13.261200716845876,1.311776069630812
2018-05-03,982,0,-16.617932203989408,1.298597943302422
2018-05-04,876,0,-13.095668442415018,1.374915833095164
2018-05-05,2337,0,-14.676282264968105,0.8751734095561311
2018-05-06,684,0,-12.668687665027342,1.7475904385263217
2018-05-07,751,0,-12.498349349361728,1.5467088407216398
2018-05-08,894,0,-16.47117114709707,1.341635000839236
2018-05-09,780,0,-14.31109168609169,1.5197249981305856
2018-05-10,772,0,-11.304994290001058,1.6198897392465605
2018-05-11,757,0,-7.045354469396743,1.448616273794655
2018-05-12,651,0,-8.975346687211093,1.7286533703772644
2018-05-13,1098,0,-23.176612458745556,1.249979549873497
2018-05-14,1122,0,-23.36520337301587,1.221936939138494
2018-05-15,1144,0,-28.430255823721733,1.2182467536416048
2018-05-16,849,0,-20.305938826256853,1.4387633345693303
2018-05-17,3811,0,-19.25727436847618,0.6891706124443348
2018-05-18,880,0,-16.133753233836654,1.468145787293703
2018-05-19,941,0,-11.034550377005212,1.3304057312783264
2018-05-20,831,0,-14.378470427173685,1.3585021794957461
2018-05-21,905,0,-14.547073877265627,1.3136531946196324
2018-05-22,889,0,-14.524332997336373,1.3281806850289204
2018-05-23,3936,0,-15.638419510134083,0.6095368294063255
2018-05-24,852,0,-17.345119474275485,1.4047929610324563
2018-05-25,1084,0,-25.09993989860771,1.281203013345035
2018-05-27,856,0,-20.350616032709198,1.4393952273156847
2018-05-28,892,0,-20.679850885442992,1.4497380302551939
2018-05-29,941,0,-13.988088488714276,1.249922954762937
2018-05-30,825,0,-11.580637544273909,1.4322462583818603
